Employee_ID,Department,Job_Level,Years_of_Experience,Training_Hours,Monthly_Working_Hours,Projects_Completed,Average_Task_Completion_Time,Absence_Days,Engagement_Score,Monthly_Productivity_Score
EMP00001,Operations,Junior,0.0,58.3,191.8,2,12.19,6,38.7,32.85
EMP00002,HR,Senior,9.8,43.1,179.9,6,6.85,4,56.0,67.29
EMP00003,Operations,Senior,5.0,35.2,173.7,6,10.83,5,67.5,67.08
EMP00004,Finance,Junior,2.9,42.6,199.3,4,9.33,1,57.5,52.98
EMP00005,Sales,Junior,2.9,35.0,175.2,6,7.21,2,69.0,57.33
EMP00006,Customer_Support,Mid,6.3,41.1,188.2,7,9.88,6,44.1,61.31
EMP00007,Operations,Senior,12.5,59.5,202.4,5,8.86,3,70.3,63.22
EMP00008,Operations,Senior,8.4,46.7,186.7,5,8.98,3,39.7,54.56
EMP00009,Sales,Senior,15.0,57.4,161.0,2,6.88,3,77.8,69.67
EMP00010,HR,Mid,3.1,54.7,157.7,8,8.05,3,60.3,54.42
EMP00011,Engineering,Junior,0.9,41.8,170.8,1,9.28,3,88.4,51.04
EMP00012,Customer_Support,Mid,3.4,22.3,184.9,3,9.56,7,47.9,39.73
EMP00013,Finance,Junior,2.1,37.1,181.2,2,9.47,3,86.1,57.41
EMP00014,Operations,Senior,13.4,32.9,205.9,10,6.11,3,48.5,68.39
EMP00015,HR,Junior,1.2,39.8,181.1,1,9.62,4,44.5,38.16
EMP00016,Engineering,Junior,1.8,65.7,170.4,2,8.73,7,70.5,57.29
EMP00017,Marketing,Mid,4.3,61.6,159.1,5,8.26,1,78.8,68.1
EMP00018,Sales,Mid,7.4,80.2,191.5,5,9.78,4,71.5,54.02
EMP00019,Operations,Senior,7.5,31.5,174.9,7,6.74,7,74.0,66.73
EMP00020,Marketing,Mid,7.9,71.0,153.9,8,9.15,1,73.7,72.86
EMP00021,Finance,Lead,8.0,62.9,175.3,10,7.22,1,53.2,76.3
EMP00022,Engineering,Lead,8.0,35.5,161.1,10,8.36,5,79.2,82.07
EMP00023,Customer_Support,Lead,14.0,46.1,169.0,11,5.84,5,59.1,80.69
EMP00024,Operations,Senior,11.2,61.6,175.1,5,7.57,6,51.5,62.11
EMP00025,Operations,Senior,7.2,42.1,162.3,9,7.24,2,62.2,67.73
EMP00026,Engineering,Senior,9.0,41.0,168.2,5,8.6,4,69.3,68.54
EMP00027,HR,Mid,6.1,37.6,164.6,5,6.39,4,83.0,54.4
EMP00028,Sales,Mid,5.2,11.6,165.0,4,8.93,4,55.8,55.09
EMP00029,Sales,Mid,7.2,48.1,160.9,3,6.94,3,55.3,60.27
EMP00030,Finance,Junior,0.1,40.4,168.2,3,9.21,4,54.6,51.81
EMP00031,Finance,Junior,2.2,34.9,162.5,4,9.36,2,85.8,59.02
EMP00032,Customer_Support,Lead,16.0,45.3,183.2,5,7.85,5,50.3,66.93
EMP00033,Engineering,Junior,0.0,29.2,177.8,3,7.77,0,85.6,61.1
EMP00034,Engineering,Mid,4.0,59.1,191.7,3,6.6,1,57.6,63.0
EMP00035,HR,Senior,11.0,50.3,201.4,6,9.46,2,72.1,75.52
EMP00036,Engineering,Junior,0.0,45.0,184.5,7,9.65,2,73.2,53.86
EMP00037,Sales,Lead,13.7,38.1,181.3,9,4.72,4,76.8,83.62
EMP00038,HR,Junior,1.4,33.1,185.4,2,9.35,2,79.1,47.79
EMP00039,Engineering,Lead,16.8,50.3,181.5,13,6.06,4,71.0,87.08
EMP00040,Finance,Senior,12.3,45.8,175.7,7,6.9,2,56.6,69.79
EMP00041,HR,Junior,1.2,54.9,174.6,4,10.28,2,85.5,51.64
EMP00042,Operations,Junior,1.8,58.5,160.7,3,7.5,4,52.4,41.19
EMP00043,Finance,Mid,3.7,37.4,186.7,3,9.32,6,35.8,37.25
EMP00044,Engineering,Mid,4.2,24.2,174.6,8,8.53,4,47.7,56.57
EMP00045,Operations,Junior,0.7,65.4,195.3,6,9.93,3,40.6,49.84
EMP00046,Operations,Manager,15.3,45.3,187.8,5,7.82,2,67.1,77.1
